CUPS;Fecha;Hora;Consumo_kWh;Metodo_obtencion
ES0000000000000000AA;13/12/2015;12;0,214;R
ES0000000000000000AA;13/12/2015;13;0,165;R
ES0000000000000000AA;13/12/2015;14;0,24;R
ES0000000000000000AA;13/12/2015;15;0,199;R
ES0000000000000000AA;13/12/2015;16;0,193;R
ES0000000000000000AA;13/12/2015;17;0,207;R
ES0000000000000000AA;13/12/2015;18;0,169;R
ES0000000000000000AA;13/12/2015;19;0,224;R
ES0000000000000000AA;13/12/2015;20;0,177;R
ES0000000000000000AA;13/12/2015;21;0,25;R
ES0000000000000000AA;13/12/2015;22;0,175;R
ES0000000000000000AA;13/12/2015;23;0,206;R
ES0000000000000000AA;13/12/2015;24;0,193;R
ES0000000000000000AA;14/12/2015;1;0,157;R
ES0000000000000000AA;14/12/2015;2;0,155;R
ES0000000000000000AA;14/12/2015;3;0,12;R
ES0000000000000000AA;14/12/2015;4;0,16;R
ES0000000000000000AA;14/12/2015;5;0,113;R
ES0000000000000000AA;14/12/2015;6;0,159;R
ES0000000000000000AA;14/12/2015;7;0,114;R
ES0000000000000000AA;14/12/2015;8;0,161;R
ES0000000000000000AA;14/12/2015;9;0,155;R
ES0000000000000000AA;14/12/2015;10;0,247;R
ES0000000000000000AA;14/12/2015;11;0,175;R
ES0000000000000000AA;14/12/2015;12;0,219;R
ES0000000000000000AA;14/12/2015;13;0,135;R
ES0000000000000000AA;14/12/2015;14;0,192;R
ES0000000000000000AA;14/12/2015;15;0,116;R
ES0000000000000000AA;14/12/2015;16;0,201;R
ES0000000000000000AA;14/12/2015;17;0,191;R
ES0000000000000000AA;14/12/2015;18;0,201;R
ES0000000000000000AA;14/12/2015;19;0,213;R
ES0000000000000000AA;14/12/2015;20;0,203;R
ES0000000000000000AA;14/12/2015;21;0,252;R
ES0000000000000000AA;14/12/2015;22;0,233;R
ES0000000000000000AA;14/12/2015;23;0,236;R
ES0000000000000000AA;14/12/2015;24;0,213;R
ES0000000000000000AA;15/12/2015;1;0,19;R
ES0000000000000000AA;15/12/2015;2;0,216;R
ES0000000000000000AA;15/12/2015;3;0,173;R
ES0000000000000000AA;15/12/2015;4;0,165;R
ES0000000000000000AA;15/12/2015;5;0,147;R
ES0000000000000000AA;15/12/2015;6;0,289;R
ES0000000000000000AA;15/12/2015;7;0,245;R
ES0000000000000000AA;15/12/2015;8;0,288;R
ES0000000000000000AA;15/12/2015;9;0,152;R
ES0000000000000000AA;15/12/2015;10;0,274;R
ES0000000000000000AA;15/12/2015;11;0,169;R
ES0000000000000000AA;15/12/2015;12;0,207;R
ES0000000000000000AA;15/12/2015;13;0,213;R
ES0000000000000000AA;15/12/2015;14;0,169;R
ES0000000000000000AA;15/12/2015;15;0,181;R
ES0000000000000000AA;15/12/2015;16;0,194;R
ES0000000000000000AA;15/12/2015;17;0,22;R
ES0000000000000000AA;15/12/2015;18;0,165;R
ES0000000000000000AA;15/12/2015;19;0,228;R
ES0000000000000000AA;15/12/2015;20;0,282;R
ES0000000000000000AA;15/12/2015;21;0,261;R
ES0000000000000000AA;15/12/2015;22;0,218;R
ES0000000000000000AA;15/12/2015;23;0,198;R
ES0000000000000000AA;15/12/2015;24;0,212;R
ES0000000000000000AA;16/12/2015;1;0,171;R
ES0000000000000000AA;16/12/2015;2;0,219;R
ES0000000000000000AA;16/12/2015;3;0,137;R
ES0000000000000000AA;16/12/2015;4;0,16;R
ES0000000000000000AA;16/12/2015;5;0,122;R
ES0000000000000000AA;16/12/2015;6;0,151;R
ES0000000000000000AA;16/12/2015;7;0,126;R
ES0000000000000000AA;16/12/2015;8;0,141;R
ES0000000000000000AA;16/12/2015;9;0,309;R
ES0000000000000000AA;16/12/2015;10;0,328;R
ES0000000000000000AA;16/12/2015;11;0,331;R
ES0000000000000000AA;16/12/2015;12;0,272;R
ES0000000000000000AA;16/12/2015;13;0,275;R
ES0000000000000000AA;16/12/2015;14;0,301;R
ES0000000000000000AA;16/12/2015;15;0,271;R
ES0000000000000000AA;16/12/2015;16;0,264;R
ES0000000000000000AA;16/12/2015;17;0,184;R
ES0000000000000000AA;16/12/2015;18;0,206;R
ES0000000000000000AA;16/12/2015;19;0,171;R
ES0000000000000000AA;16/12/2015;20;0,221;R
ES0000000000000000AA;16/12/2015;21;0,198;R
ES0000000000000000AA;16/12/2015;22;0,221;R
ES0000000000000000AA;16/12/2015;23;0,223;R
ES0000000000000000AA;16/12/2015;24;0,281;R
ES0000000000000000AA;17/12/2015;1;0,27;R
ES0000000000000000AA;17/12/2015;2;0,178;R
ES0000000000000000AA;17/12/2015;3;0,127;R
ES0000000000000000AA;17/12/2015;4;0,141;R
ES0000000000000000AA;17/12/2015;5;0,138;R
ES0000000000000000AA;17/12/2015;6;0,137;R
ES0000000000000000AA;17/12/2015;7;0,252;R
ES0000000000000000AA;17/12/2015;8;0,243;R
ES0000000000000000AA;17/12/2015;9;0,279;R
ES0000000000000000AA;17/12/2015;10;0,343;R
ES0000000000000000AA;17/12/2015;11;0,27;R
ES0000000000000000AA;17/12/2015;12;0,136;R
ES0000000000000000AA;17/12/2015;13;0,129;R
ES0000000000000000AA;17/12/2015;14;0,124;R
ES0000000000000000AA;17/12/2015;15;0,159;R
ES0000000000000000AA;17/12/2015;16;0,248;R
ES0000000000000000AA;17/12/2015;17;0,204;R
ES0000000000000000AA;17/12/2015;18;0,224;R
ES0000000000000000AA;17/12/2015;19;0,193;R
ES0000000000000000AA;17/12/2015;20;0,224;R
ES0000000000000000AA;17/12/2015;21;0,195;R
ES0000000000000000AA;17/12/2015;22;0,231;R
ES0000000000000000AA;17/12/2015;23;0,236;R
ES0000000000000000AA;17/12/2015;24;0,191;R
ES0000000000000000AA;18/12/2015;1;0,185;R
ES0000000000000000AA;18/12/2015;2;0,189;R
ES0000000000000000AA;18/12/2015;3;0,179;R
ES0000000000000000AA;18/12/2015;4;0,128;R
ES0000000000000000AA;18/12/2015;5;0,132;R
ES0000000000000000AA;18/12/2015;6;0,136;R
ES0000000000000000AA;18/12/2015;7;0,263;R
ES0000000000000000AA;18/12/2015;8;0,266;R
ES0000000000000000AA;18/12/2015;9;0,279;R
ES0000000000000000AA;18/12/2015;10;0,297;R
ES0000000000000000AA;18/12/2015;11;0,349;R
ES0000000000000000AA;18/12/2015;12;0,282;R
ES0000000000000000AA;18/12/2015;13;0,272;R
ES0000000000000000AA;18/12/2015;14;0,298;R
ES0000000000000000AA;18/12/2015;15;0,282;R
ES0000000000000000AA;18/12/2015;16;0,224;R
ES0000000000000000AA;18/12/2015;17;0,189;R
