Fecha;Hora;Gi;Ta;PFV
2015-1-26;7;0;8,7;0,00
2015-1-26;8;0;8,7;0,00
2015-1-26;9;166;10,5;37,28
2015-1-26;10;187;11,4;41,67
2015-1-26;11;478;13,1;100,60
2015-1-26;12;638;14,5;129,60
2015-1-26;13;926;16;176,94
2015-1-26;14;784;16,8;153,17
2015-1-26;15;316;16,4;67,24
2015-1-26;16;379;15,9;79,98
2015-1-26;17;165;15;36,26
2015-1-26;18;0;14,6;0,00
2015-1-26;19;0;14,2;0,00
2015-1-26;20;0;13,8;0,00
2015-1-26;21;0;13,4;0,00
2015-1-26;22;0;13;0,00
2015-1-26;23;0;12,6;0,00
2015-1-26;24;0;12,2;0,00
2015-1-27;1;0;11,6;0,00
2015-1-27;2;0;11;0,00
2015-1-27;3;0;10,4;0,00
2015-1-27;4;0;9,7;0,00
2015-1-27;5;0;9,1;0,00
2015-1-27;6;0;8,5;0,00
2015-1-27;7;0;7,9;0,00
2015-1-27;8;0;7,3;0,00
2015-1-27;9;227;9,9;50,62
2015-1-27;10;456;11,6;97,06
2015-1-27;11;743;13,4;148,98
2015-1-27;12;840;14,8;164,21
2015-1-27;13;702;15,5;140,22
2015-1-27;14;829;16,1;161,23
2015-1-27;15;764;16,3;150,23
2015-1-27;16;476;15,6;98,93
2015-1-27;17;232;14,3;50,60
2015-1-27;18;0;13,8;0,00
2015-1-27;19;0;13,2;0,00
2015-1-27;20;0;12,6;0,00
2015-1-27;21;0;12;0,00
2015-1-27;22;0;11,5;0,00
2015-1-27;23;0;10,9;0,00
2015-1-27;24;0;10,3;0,00
2015-1-28;1;0;9,8;0,00
2015-1-28;2;0;9,2;0,00
2015-1-28;3;0;8,7;0,00
2015-1-28;4;0;8,2;0,00
2015-1-28;5;0;7,6;0,00
2015-1-28;6;0;7,1;0,00
2015-1-28;7;0;6,6;0,00
2015-1-28;8;0;6;0,00
2015-1-28;9;154;8,1;35,05
2015-1-28;10;79;8,3;18,18
2015-1-28;11;125;8,9;28,47
2015-1-28;12;228;9,6;50,91
2015-1-28;13;396;10,6;85,58
2015-1-28;14;530;11,4;111,51
2015-1-28;15;534;11,9;111,98
2015-1-28;16;558;12;116,47
2015-1-28;17;263;11,3;57,91
2015-1-28;18;0;10,9;0,00
2015-1-28;19;0;10,5;0,00
2015-1-28;20;0;10,1;0,00
2015-1-28;21;0;9,7;0,00
2015-1-28;22;0;9,2;0,00
